,Instrument,Date,Price Close,Country of Exchange,Earnings Quality Region,GICS Sub-Industry Name,Company Market Capitalization,Net Income after Minority Interest,Property Plant & Equipment - Net - Total,Revenue from Business Activities - Total,Cash & Short Term Investments,Loans & Receivables - Total,Intangible Assets,Total Assets,Dividends Paid - Cash - Total - Cash Flow,Common Stock Buyback - Net,Shareholders Equity - Common,Capital Expenditures - Total,Debt - Long-Term - Total,Short-Term Debt & Notes Payable
1682,KESKOB.HE,2008-07-01,7.74009693869496,,,,3288729495.79248,390746070.56334,1682106645.26953,12732837744.9886,513531256.838573,1291122620.17653,,5971259756.36443,213333644.139143,-3564700.99461293,2785031730.97965,293402312.633526,458093223.429864,
1683,KESKOB.HE,2009-07-01,6.86278671590893,,,,2771062830.42549,325066398.612549,1690638934.31738,14108028788.6528,619504899.28852,1040801778.00143,,5440097286.87047,253728297.559569,-588355.472601899,2747655190.72979,418762007.624402,275226793.027774,
1684,KESKOB.HE,2010-07-01,8.20805847967856,,,,3241394749.90925,174581215.994618,1589933001.20254,11778375521.2727,1023163259.46286,1044064593.71242,,5499914104.10582,137210795.957431,-6414325.82727829,2870068144.07605,286134708.642936,375078737.902995,
1685,KESKOB.HE,2011-07-01,11.5776709603404,,,,4550298524.05571,270713525.931492,1686843689.38533,11647316750.4937,1133034579.62678,1170490268.20948,,5574209083.00448,140930276.734924,-5573513.76917778,2878737208.2135,262618660.695305,314360243.461976,
1686,KESKOB.HE,2012-06-29,6.51574030708472,,,,2623323981.82301,252712132.439626,1929449838.1877,13172219601.8283,475469255.66343,1166601941.74757,,5423948220.06472,185043759.786371,31745656.3064654,2815016181.22977,594674114.407516,272362459.546926,
1687,KESKOB.HE,2013-07-01,6.93972724422615,,,,2842453624.34685,159976992.18669,2213690099.21892,12455957786.343,645318767.152206,1246833438.88537,,5781612835.12772,158176608.030249,-1285988.68317275,2909937724.29808,498192015.861124,594126029.132362,
1688,KESKOB.HE,2014-07-01,9.99589631352165,,,,3942277370.61761,229930998.748841,2269840833.49369,12373502250.4056,935893559.117025,1051213678.97298,,5995134288.14911,162585524.245281,-26034936.8889503,3133023613.82192,230063830.059499,488083129.449927,
1689,KESKOB.HE,2015-07-01,8.70348470949702,,,,3418944944.68452,127654321.086053,1964676707.19168,12048920757.9932,723401681.485514,924091211.516361,,5077965281.5581,190485220.018106,18596883.404836,2641867779.59233,257168330.512589,386257787.455392,
1690,KESKOB.HE,2016-07-01,10.6673199193827,,,,4182956874.00759,112898419.014139,1392361073.40277,9634553478.68055,963390927.552915,837523484.757985,,4495281328.39565,173288527.120031,0.0,2349344598.77716,226240882.940822,280513895.374724,
1691,KESKOB.HE,2017-06-30,12.7194635778989,,,,5057250217.59592,109004158.922365,1209419680.4037,11266050147.1396,411480235.49201,991589571.068125,,4633830950.37847,276106981.229748,-13611686.850204,2133095037.84693,306982270.914357,377102607.232969,
1692,KESKOB.HE,2018-06-29,15.3048110848891,,,,5985943032.10505,290428531.686444,1551204999.94002,11856716554.2964,477321529.252288,1122707261.18929,,5364139105.81687,230308695.555243,0.0,2559230335.52861,342524855.852768,155108503.97668,
1693,KESKOB.HE,2019-07-01,13.9398282419058,,,,5472810147.43886,186535242.092596,3731190934.94816,12257962731.6392,285806037.251124,1054110468.85035,,7302046059.27149,266107870.681462,28806708.2725274,2195270208.27599,469997973.905458,2474309569.68529,
1694,KESKOB.HE,2020-07-01,17.0549786812767,,,,6726223832.24021,379667083.877188,4124386252.04583,11999248346.9594,189449140.192364,1016523552.22743,,7734121023.24956,266617627.887813,-7163529.88447524,2270923480.48338,422648263.184039,2820774387.37305,
1695,KESKOB.HE,2021-07-01,37.2858463069595,,,,14410406776.3797,494596425.834365,3993404982.90181,12178509546.5313,373717635.56424,1111260381.04543,,8111748900.83048,285251896.644375,,2673790913.532,232744544.721041,2590376160.23449,
1696,KESKOB.HE,2022-07-01,23.6923333611412,,,,9231252867.06432,676344022.90375,3720301025.39618,13366251709.7184,440738467.135029,1176704635.88205,,7918968692.44936,352247726.514055,,2875542823.36357,283170267.721507,2065684468.99939,
1697,KESKOB.HE,2023-06-30,18.8197558341243,,,,7552934302.97079,642517250.279568,3727632705.47945,12440541414.2506,336151541.09589,1185038527.39726,,7998715753.42466,428450181.486638,,2934717465.75342,371246235.446007,1966502568.49315,
1698,KESKOB.HE,2024-07-01,17.8304895465332,,,,7203807877.6939,535817357.633516,4273669341.04378,12742612671.8099,250847008.70736,1195303102.20388,,8557602110.07251,465312228.031689,,3044154812.22341,583073096.339035,2580093364.08683,
1699,KESKOB.HE,2025-07-01,24.9321213552119,,,,9896890183.44942,410223523.287037,4421782793.24982,12895320200.2474,505331814.88767,1108499844.70442,,8770266073.09245,346504732.35453,,2818097111.50223,531602951.854562,2777513200.12424,
1700,KESKOB.HE,2026-07-01,21.8988896978522,,,,8771395233.39097,456752795.497613,5474437123.42765,14100109126.4392,195201014.763398,1319544765.86449,,10362683955.2283,418435745.838199,-17519594.9770181,3285883748.5172,567747906.900398,3569054414.33823,
1701,AGCO.N,2000-06-30,10.785778358,United States of America,North America,Agricultural & Farm Machinery,642745661.930658,-11500000.0,310800000.0,2436400000.0,19600000.0,758200000.0,,2273200000.0,2400000.0,,829100000.0,44200000.0,691700000.0,
1702,AGCO.N,2001-06-29,8.05631608,,,,480090597.385648,3500000.0,316200000.0,2336100000.0,13300000.0,602900000.0,,2104200000.0,2500000.0,,789900000.0,57700000.0,570200000.0,
1703,AGCO.N,2002-07-01,17.151588768,,,,1278654750.45117,22600000.0,316900000.0,2545900000.0,28900000.0,471900000.0,,2173300000.0,500000.0,,799400000.0,39300000.0,1123612000.0,
1704,AGCO.N,2003-07-01,14.474954792,,,,1088652463.45267,-60300000.0,343700000.0,2922700000.0,34300000.0,497400000.0,,2349000000.0,0.0,,717600000.0,54900000.0,638500000.0,
1705,AGCO.N,2004-07-01,17.239635939,,,,1554465946.87631,33100000.0,434200000.0,3495300000.0,147000000.0,553600000.0,,2839400000.0,0.0,-2500000.0,906100000.0,78700000.0,712300000.0,
1706,AGCO.N,2005-07-01,17.538996318,,,,1585937264.49403,72600000.0,593300000.0,5273300000.0,325600000.0,823200000.0,100000,4297300000.0,,-303000000.0,1422400000.0,78400000.0,1151900000.0,
1707,AGCO.N,2006-06-30,23.174015215,,,,2098090060.89882,-119500000.0,,5449700000.0,220600000.0,,0,3861200000.0,,-1400000.0,1416000000.0,88400000.0,842400000.0,
1708,AGCO.N,2007-06-29,38.221276614,,,,3496543917.99469,-138400000.0,643900000.0,5435000000.0,401100000.0,677100000.0,,4114500000.0,,-10800000.0,1493600000.0,129100000.0,579000000.0,
1709,AGCO.N,2008-07-01,45.626043634,,,,4185299236.00343,121500000.0,753000000.0,6828100000.0,582400000.0,766400000.0,,4787600000.0,,-8200000.0,2043000000.0,141400000.0,299200000.0,
1710,AGCO.N,2009-07-01,25.789016172,,,,2383768133.60946,221500000.0,811100000.0,8273100000.0,512200000.0,815600000.0,,4954800000.0,,-300000.0,2014300000.0,236800000.0,627600000.0,
1711,AGCO.N,2010-07-01,23.411742575,,,,2177958959.08761,78000000.0,910000000.0,6516400000.0,651400000.0,725200000.0,,4998900000.0,,0.0,2393200000.0,206600000.0,464300000.0,0.0
1712,AGCO.N,2011-07-01,44.296531363,,,,4199619486.95229,220500000.0,924800000.0,6896600000.0,719900000.0,908500000.0,,5436900000.0,,-500000.0,2658400000.0,167100000.0,491000000.0,113900000.0
1713,AGCO.N,2012-06-29,40.263970964,,,,3914395415.82886,583300000.0,1222600000.0,8773200000.0,724400000.0,970500000.0,,7257200000.0,,-300000.0,2995200000.0,300400000.0,1409700000.0,
1714,AGCO.N,2013-07-01,44.543063439,,,,4334646483.70274,522100000.0,1406100000.0,9962200000.0,781300000.0,924600000.0,,7721800000.0,,17600000.0,3464700000.0,340500000.0,1043000000.0,
1715,AGCO.N,2014-07-01,48.883788934,,,,4591430755.2029,597200000.0,1602300000.0,10786900000.0,1047200000.0,940600000.0,,8438800000.0,38900000.0,1000000.0,4010200000.0,391800000.0,938500000.0,
1716,AGCO.N,2015-07-01,48.646061574,,,,4283387478.01564,410400000.0,1530400000.0,9723700000.0,363700000.0,963800000.0,,7368800000.0,40800000.0,499700000.0,3448500000.0,301500000.0,997600000.0,0.0
1717,AGCO.N,2016-07-01,41.540654933,,,,3426032330.14166,266400000.0,1347100000.0,7467300000.0,426700000.0,836800000.0,,6497700000.0,42000000.0,287500000.0,2838300000.0,211400000.0,925200000.0,217200000.0
1718,AGCO.N,2017-06-30,59.334988045,,,,4716791556.51876,160100000.0,1361300000.0,7410500000.0,429700000.0,890400000.0,,7168400000.0,42500000.0,212500000.0,2776100000.0,201000000.0,1616700000.0,0.0
1719,AGCO.N,2018-06-29,53.462241788,,,,4252376089.69384,186400000.0,1485300000.0,8306500000.0,367700000.0,1019400000.0,,7971700000.0,44500000.0,0.0,3029600000.0,203900000.0,1630400000.0,
1720,AGCO.N,2019-07-01,68.359822997,,,,5249008393.81659,285500000.0,1373100000.0,9352000000.0,326100000.0,880300000.0,,7626400000.0,47100000.0,184300000.0,2932900000.0,203300000.0,1286200000.0,
1721,AGCO.N,2020-07-01,47.510253077,,,,3556986599.2253,125200000.0,1603600000.0,9041400000.0,432800000.0,800500000.0,,7759700000.0,48000000.0,130000000.0,2853800000.0,273400000.0,1203800000.0,150500000.0
1722,AGCO.N,2021-07-01,119.396836344,,,,8996727344.74259,427100000.0,1673600000.0,9149700000.0,1119100000.0,856000000.0,,8504200000.0,48000000.0,55000000.0,2980000000.0,269900000.0,1266500000.0,33800000.0
1723,AGCO.N,2022-07-01,94.341303447,,,,7032548562.00416,897000000.0,1618900000.0,11138300000.0,889100000.0,991500000.0,,9182100000.0,358500000.0,135000000.0,3415900000.0,269800000.0,1417200000.0,90800000.0
1724,AGCO.N,2023-06-30,128.4873627,,,,9619099786.48371,889600000.0,1755100000.0,12651400000.0,789500000.0,1221300000.0,,10103700000.0,404300000.0,0.0,3882400000.0,388300000.0,1270200000.0,8900000.0
1725,AGCO.N,2024-07-01,95.58,,,,7132131905.58,1171400000.0,2097100000.0,14412400000.0,595500000.0,1605300000.0,,11421200000.0,457400000.0,53000000.0,4656700000.0,518100000.0,1382600000.0,12700000.0
1726,AGCO.N,2025-07-01,108.01,,,,8057935592.07,-424800000.0,1987500000.0,11661900000.0,612700000.0,1267400000.0,,11190600000.0,273100000.0,22000000.0,3742800000.0,393300000.0,2238400000.0,90400000.0
1727,AGCO.N,2026-07-01,116.54,,,,8438489736.58,726500000.0,2163500000.0,10082000000.0,861800000.0,1079400000.0,,11927800000.0,86500000.0,250000000.0,4273500000.0,247900000.0,2328800000.0,56100000.0
1728,BARN.S,2000-06-30,124.690226331477,Switzerland,Developed Europe,Packaged Foods & Meats,661863577.491733,69472372.3889206,274968295.904888,1567844072.8793,30811096.4332893,218421400.264201,,1070023117.56935,,23617626.6012472,409262879.788639,44033473.957277,202248348.745046,20990092.4702774
1729,BARN.S,2001-06-29,103.356178882074,,,,548621109.463251,55722262.0417486,329350261.389096,1491821480.06263,39992531.7401046,214690641.695869,,1274698109.95576,,21362892.7048419,372750043.086115,65039941.7262923,175689665.077268,44809559.3726662
1730,BARN.S,2002-07-01,107.423924086675,,,,570212956.250481,56462240.2681192,291456953.642384,1482660440.83343,49193257.0740518,139157134.256472,,1233685129.4401,,-1345599.52336469,419846478.025286,39564000.1664443,152676098.735701,17113184.8284166
1731,BARN.S,2003-07-01,117.244512884386,,,,622341260.415034,13127955.3427365,453279957.299173,1629704500.56507,40086736.0555111,218247264.478249,,1769127301.84147,,1632913.76351178,462708166.533227,36815461.1287689,97550707.2324526,31688684.2807579
1732,BARN.S,2004-07-01,203.654238132704,,,,1081009525.70283,74195561.5882713,474274383.708467,2566460436.22612,26265809.2175777,233005359.056806,,1938340121.47195,,2690598.80076797,542450160.771704,49594979.8180018,410971061.093248,25352625.9378349
1733,BARN.S,2005-07-01,223.983349423878,,,,1188917730.25381,90283604.4672896,589379097.87503,3162126195.40104,30453432.3406272,305994944.308397,,2180631961.45035,,13133069.4341096,632692945.730311,67567049.3632252,520958211.549096,30985859.8625484
1734,BARN.S,2006-06-30,384.872942059064,,,,1989793108.8678,50983596.3324882,579475532.849046,3345738265.71476,21679572.1242117,257632314.201325,,2182577632.3142,33222339.9160365,8530906.3589386,665265426.678375,78331927.3311676,605873712.780394,22407599.5848966
1735,BARN.S,2007-06-29,699.998301202718,,,,3618991216.84133,144126389.33826,584328540.092615,2924087896.06199,32721585.8315054,241652449.427248,,2284369160.77667,32570223.5962368,6431359.19029173,811772686.652043,69200700.4048091,462429116.906329,35828255.7478268
1736,BARN.S,2008-07-01,633.824515227028,,,,3276872742.82632,101108498.816699,599147774.284296,3347677248.10303,34037729.6045011,247605493.959954,,2636663908.65464,44189064.476595,14822888.237053,876277511.169949,126380936.34493,467091676.319709,50367367.201721
1737,BARN.S,2009-07-01,523.06005009311,,,,2704220459.94413,189002415.495755,809111797.293615,4448974764.80535,32802651.893561,303560076.287349,,3387033875.21569,54908356.8232302,11200451.1074695,1067952047.95205,227592833.899442,564791572.064299,54251203.3421124
1738,BARN.S,2010-07-01,607.973486702228,,,,3143222925.6892,202020038.98866,824006422.364941,4344923461.20463,34123536.0785795,500884019.644881,,3319651492.25538,52877937.461667,7841946.27495896,1185829240.64979,129125017.274052,687847563.279184,27708726.8605969
1739,BARN.S,2011-07-01,984.934686172723,,,,5092112327.51298,237855956.095685,819394477.317554,4283751439.01107,17859960.5522682,506857988.16568,,3521545364.89152,61180029.2443739,5378661.78890555,1284300788.95463,137518966.058219,689857988.165681,185616370.808679
1740,BARN.S,2012-06-29,902.353059158494,,,,4665165315.84941,195758481.529406,814007695.1719,4915739433.58249,52637458.1109594,463964254.685367,,4050057093.21087,79708264.9728167,9968355.27488909,1510634231.10339,191577812.405385,850142733.027181,181242397.914857
1741,BARN.S,2013-07-01,929.531266532642,,,,5102065128.55782,153479193.715197,837530631.479736,5216151915.38123,57133731.2807624,602056759.870143,,3745322023.24851,86550285.2745355,4118253.41925256,1349789506.75463,235779458.74196,885856110.587496,158722379.306734
1742,BARN.S,2014-07-01,1361.12676056338,,,,7471031508.7324,239054850.259261,1167713486.77135,5225128455.34054,107741449.774145,707355345.235535,,4868694342.86943,54737668.1055219,-279007517.422375,1809552591.95526,239737399.506819,1466401376.64014,261202409.120241
1743,BARN.S,2015-07-01,1142.28456913828,,,,6269837795.59118,280929610.685361,1283521019.38575,6529426468.91307,104104770.20257,744688521.019386,,5627874101.50294,88590062.9409529,20753904.1505512,1950174253.97517,276915742.175472,1542213025.48464,516545414.942278
1744,BARN.S,2016-07-01,1261.56693399136,,,,6924561758.17397,249177547.931674,1225093598.09701,6556664510.61294,144583721.170752,778471403.454339,,5615252869.9969,89367736.4969311,17128369.7276462,1833532940.32475,261752288.15059,1216422587.65126,404016961.423105
1745,BARN.S,2017-06-30,1375.63928608705,,,,7550688700.55318,221076976.791332,1283272671.81781,6800641520.49369,482931069.540464,857214314.762098,,5734854615.69744,81064613.8164872,15563493.2290788,1988905042.70028,204746512.986239,1172251931.67954,25736071.5738105
1746,BARN.S,2018-06-29,1797.6166431024,,,,9866862492.42577,283818903.134653,1445772561.29369,6885380702.35928,439802816.901408,687771517.99687,,5703223787.16745,23269119.090416,17271235.0149317,2202594679.18623,223035690.274547,1221432446.53104,350160667.709964
1747,BARN.S,2019-07-01,1983.99837958274,,,,10889885377.7598,365248033.826718,1466947140.20235,7126251866.49352,429742927.937229,860686557.918645,,6021104687.17737,71661362.0966724,23366118.7103529,2343378071.44332,223509853.082765,1207749328.92835,316863514.350609
