"","X","Instrument","Company.Common.Name","Country.of.Exchange","Company.Market.Cap","GICS.Sub.Industry.Code","GICS.Sub.Industry.Name"
"21",57,"AD.AS","Koninklijke Ahold Delhaize NV","Netherlands",36642958597.1423,30101030,"Food Retail"
"22",91,"KR.N","Kroger Co","United States of America",35864371888.28,30101030,"Food Retail"
"23",87,"HSY.N","Hershey Co","United States of America",35690291303.4,30202030,"Packaged Foods & Meats"
"24",30,"2802.T","Ajinomoto Co Inc","Japan",34394771314.8991,30202030,"Packaged Foods & Meats"
"25",152,"WOW.AX","Woolworths Group Ltd","Australia",33768277951.5318,30101030,"Food Retail"
"26",72,"CASY.OQ","Caseys General Stores Inc","United States of America",29677570978.86,30101030,"Food Retail"
"27",22,"LISN.S","Chocoladefabriken Lindt & Spruengli AG","Switzerland",28214865357.8529,30202030,"Packaged Foods & Meats"
"28",521,"WN.TO","George Weston Ltd","Canada",26250175182.0551,30101030,"Food Retail"
"29",36,"8267.T","Aeon Co Ltd","Japan",24986333059.1338,30101040,"Consumer Staples Merchandise Retail"
"30",203,"DLTR.OQ","Dollar Tree Inc","United States of America",23570213218.2,30101040,"Consumer Staples Merchandise Retail"
"31",212,"600887.SS","Inner Mongolia Yili Industrial Group Co Ltd","China",23482438252.0888,30202030,"Packaged Foods & Meats"
"32",202,"DRI.N","Darden Restaurants Inc","United States of America",23422408113.5,25301040,"Restaurants"
"33",110,"TSN.N","Tyson Foods Inc","United States of America",20712251425.64,30202030,"Packaged Foods & Meats"
"34",84,"GIS.N","General Mills Inc","United States of America",19800581491.6,30202030,"Packaged Foods & Meats"
"35",39,"6326.T","Kubota Corp","Japan",18996177133.5924,20106015,"Agricultural & Farm Machinery"
"36",13,"ABF.L","Associated British Foods PLC","United Kingdom",18564314955.0768,30202030,"Packaged Foods & Meats"
"37",21,"KYGa.I","Kerry Group PLC","Ireland",15402958086.3258,30202030,"Packaged Foods & Meats"
"38",97,"MKC.N","McCormick & Company Inc","United States of America",14039576009.46,30202030,"Packaged Foods & Meats"
"39",11,"CARR.PA","Carrefour SA","France",13907035757.1414,30101040,"Consumer Staples Merchandise Retail"
"40",155,"BIMBOA.MX","Grupo Bimbo SAB de CV","Mexico",13907024477.6558,30202030,"Packaged Foods & Meats"
"41",141,"1216.TW","Uni-President Enterprises Corp","Taiwan",13906040979.2814,30202030,"Packaged Foods & Meats"
"42",188,"BRIT.NS","Britannia Industries Ltd","India",13754162997.2953,30202030,"Packaged Foods & Meats"
"43",88,"HRL.N","Hormel Foods Corp","United States of America",13592779487.3,30202030,"Packaged Foods & Meats"
"44",99,"MRU.TO","Metro Inc","Canada",13308634854.6517,30101030,"Food Retail"
"45",176,"JMT.LS","Jeronimo Martins SGPS SA","Portugal",12180844133.4813,30101030,"Food Retail"
"46",73,"COKE.OQ","Coca-Cola Consolidated Inc","United States of America",11824481186.16,30201030,"Soft Drinks & Non-alcoholic Beverages"
"47",256,"000895.SZ","Henan Shuanghui Investment & Development Co Ltd","China",11781092533.9742,30202030,"Packaged Foods & Meats"
"48",149,"TACN.NS","Tata Consumer Products Ltd","India",11671647476.1505,30202030,"Packaged Foods & Meats"
"49",228,"SAP.TO","Saputo Inc","Canada",11648224948.9049,30202030,"Packaged Foods & Meats"
"50",370,"MRCO.NS","Marico Ltd","India",11515430959.6593,30202030,"Packaged Foods & Meats"
"51",169,"JOPH.AM","Jordan Phosphate Mines Company PSC","Jordan",11362994350.2825,15101030,"Fertilizers & Agricultural Chemicals"
"52",58,"ORK.OL","Orkla ASA","Norway",10964001503.9882,30202030,"Packaged Foods & Meats"
"53",1,"LOTB.BR","Lotus Bakeries NV","Belgium",10642064910.2536,30202030,"Packaged Foods & Meats"
"54",23,"MKS.L","Marks and Spencer Group PLC","United Kingdom",10599962088.6279,30101030,"Food Retail"
"55",134,"SHPJ.J","Shoprite Holdings Ltd","South Africa",10516319751.025,30101030,"Food Retail"
"56",232,"MOWI.OL","Mowi ASA","Norway",10105537644.151,30202030,"Packaged Foods & Meats"
"57",38,"2801.T","Kikkoman Corp","Japan",10065563235.4248,30202030,"Packaged Foods & Meats"
"58",25,"SBRY.L","J Sainsbury PLC","United Kingdom",10054479008.4116,30101030,"Food Retail"
"59",195,"DAR.N","Darling Ingredients Inc","United States of America",9254340347.49,30202010,"Agricultural Products & Services"
"60",235,"7550.T","Zensho Holdings Co Ltd","Japan",9221192912.57943,25301040,"Restaurants"
"61",109,"TTC.N","Toro Co","United States of America",9011570802.42,20106015,"Agricultural & Farm Machinery"
"62",12,"EXHO.PA","Sodexo SA","France",9007917547.50438,25301040,"Restaurants"
"63",64,"KESKOB.HE","Kesko Oyj","Finland",8940103310.17126,30101030,"Food Retail"
"64",158,"AGCO.N","AGCO Corp","United States of America",8236469946.25,20106015,"Agricultural & Farm Machinery"
"65",250,"BARN.S","Barry Callebaut AG","Switzerland",8143260999.00597,30202030,"Packaged Foods & Meats"
"66",208,"0322.HK","Tingyi (Cayman Islands) Holding Corp","Hong Kong",8066041159.34045,30202030,"Packaged Foods & Meats"
"67",236,"2912.TW","President Chain Store Corp","Taiwan",7801375123.14734,30101030,"Food Retail"
"68",233,"600096.SS","Yunnan Yuntianhua Co Ltd","China",7776705535.4285,15101030,"Fertilizers & Agricultural Chemicals"
"69",81,"EMPa.TO","Empire Company Ltd","Canada",7732888471.12473,30101030,"Food Retail"
"70",71,"EAT.N","Brinker International Inc","United States of America",7518229587,25301040,"Restaurants"
"71",53,"2875.T","Toyo Suisan Kaisha Ltd","Japan",7411907654.63631,30202030,"Packaged Foods & Meats"
"72",62,"CPB.OQ","Campbell's Co","United States of America",6828922964.7,30202030,"Packaged Foods & Meats"
"73",14,"GL9.I","Glanbia PLC","Ireland",6757885583.38005,30202030,"Packaged Foods & Meats"
"74",75,"CAG.N","Conagra Brands Inc","United States of America",6712473298.68,30202030,"Packaged Foods & Meats"
"75",67,"IOIB.KL","IOI Corporation Bhd","Malaysia",6691642893.61938,30202010,"Agricultural Products & Services"
"76",119,"CORF.NS","Coromandel International Ltd","India",6404275374.16501,15101030,"Fertilizers & Agricultural Chemicals"
"77",160,"ICL.TA","ICL Group Ltd","Israel",6368676123.35526,15101030,"Fertilizers & Agricultural Chemicals"
"78",243,"INGR.N","Ingredion Inc","United States of America",6215731642.77,30202010,"Agricultural Products & Services"
"79",231,"AXFO.ST","Axfood AB","Sweden",6057552329.10892,30101030,"Food Retail"
"80",133,"KLKK.KL","Kuala Lumpur Kepong Bhd","Malaysia",5955633061.27367,30202010,"Agricultural Products & Services"
"81",237,"PSMT.OQ","PriceSmart Inc","United States of America",5930463974.05,30101040,"Consumer Staples Merchandise Retail"
"82",258,"FCTL.NS","Fertilisers And Chemicals Travancore Ltd","India",5860888830.44344,15101030,"Fertilizers & Agricultural Chemicals"
"83",144,"003230.KS","Samyang Foods Inc","Korea; Republic (S. Korea)",5702381392.43015,30202030,"Packaged Foods & Meats"
"84",117,"CPF.BK","Charoen Pokphand Foods PCL","Thailand",5576046612.5,30202030,"Packaged Foods & Meats"
"85",257,"000893.SZ","Asia Potash International Investment Guangzhou Co Ltd","China",5519768770.93355,15101030,"Fertilizers & Agricultural Chemicals"
"86",187,"GRUMAB.MX","Gruma SAB de CV","Mexico",5496438270.82427,30202030,"Packaged Foods & Meats"
"87",54,"2267.T","Yakult Honsha Co Ltd","Japan",5454012641.86563,30202030,"Packaged Foods & Meats"
"88",49,"2897.T","Nissin Foods Holdings Co Ltd","Japan",5359054571.53433,30202030,"Packaged Foods & Meats"
"89",213,"UPLL.NS","UPL Ltd","India",5323348063.43747,15101030,"Fertilizers & Agricultural Chemicals"
"90",151,"UTPS.KL","United Plantations Bhd","Malaysia",5271785541.89329,30202010,"Agricultural Products & Services"
"91",139,"NESM.KL","Nestle (Malaysia) Bhd","Malaysia",5252753872.63339,30202030,"Packaged Foods & Meats"
"92",157,"SIGMAFA.MX","Sigma Foods SAB de CV","Mexico",5176943335.0215,30202030,"Packaged Foods & Meats"
"93",207,"LOUP.PA","Societe LDC SA","France",5108555526.98111,30202030,"Packaged Foods & Meats"
"94",0,"COLR.BR","Colruyt Group NV","Belgium",5071259352.17874,30101030,"Food Retail"
"95",145,"YSO.LS","Sonae SGPS SA","Portugal",4827657213.45795,30101030,"Food Retail"
"96",18,"DFIR.SI","DFI Retail Group Holdings Ltd","Singapore",4818996563.2,30101030,"Food Retail"
"97",143,"PAFO.NS","Patanjali Foods Ltd","India",4728179186.78583,30202030,"Packaged Foods & Meats"
"98",168,"APOT.AM","Arab Potash Co","Jordan",4701319385.59322,15101030,"Fertilizers & Agricultural Chemicals"
"99",246,"000876.SZ","New Hope Liuhe Co Ltd","China",4686110379.89078,30202010,"Agricultural Products & Services"
"100",190,"2579.T","Coca-Cola Bottlers Japan Holdings Inc","Japan",4672402481.62132,30201030,"Soft Drinks & Non-alcoholic Beverages"
"101",55,"2212.T","Yamazaki Baking Co Ltd","Japan",4510573214.51046,30202030,"Packaged Foods & Meats"
"102",124,"STRS.TA","Strauss Group Ltd","Israel",4487946341.28735,30202030,"Packaged Foods & Meats"
"103",103,"SEB.A","Seaboard Corp","United States of America",4263227295.46,30202030,"Packaged Foods & Meats"
"104",147,"SAE.TA","Shufersal Ltd","Israel",4064203535.87327,30101030,"Food Retail"
"105",201,"CALM.OQ","Cal-Maine Foods Inc","United States of America",4046434381.08,30202030,"Packaged Foods & Meats"
"106",17,"CWK.L","Cranswick PLC","United Kingdom",4035638175.3545,30202030,"Packaged Foods & Meats"
"107",50,"2809.T","Kewpie Corp","Japan",4017416250.23135,30202030,"Packaged Foods & Meats"
"108",164,"SMG.N","Scotts Miracle-Gro Co","United States of America",3885971572.23,15101030,"Fertilizers & Agricultural Chemicals"
"109",161,"CAKE.OQ","Cheesecake Factory Inc","United States of America",3862540119.62,25301040,"Restaurants"
"110",45,"2282.T","NH Foods Ltd","Japan",3672351286.32241,30202030,"Packaged Foods & Meats"
"111",217,"600737.SS","COFCO Sugar Holding Co Ltd","China",3620683990.63797,30202030,"Packaged Foods & Meats"
"112",47,"2002.T","Nisshin Seifun Group Inc","Japan",3565341530.71442,30202030,"Packaged Foods & Meats"
"113",43,"2871.T","Nichirei Corp","Japan",3495115990.70578,30202030,"Packaged Foods & Meats"
"114",266,"QRES.KL","QL Resources Bhd","Malaysia",3464684525.42415,30202030,"Packaged Foods & Meats"
"115",125,"ESCO.NS","Escorts Kubota Ltd","India",3436005787.51441,20106015,"Agricultural & Farm Machinery"
"116",26,"TATE.L","Tate & Lyle PLC","United Kingdom",3340144373.41831,30202030,"Packaged Foods & Meats"
"117",69,"PEPT.KL","PPB Group Bhd","Malaysia",3309020399.0509,30202030,"Packaged Foods & Meats"
"118",129,"GUBRF.IS","Gubre Fabrikalari TAS","Turkey",3265634144.57018,15101030,"Fertilizers & Agricultural Chemicals"
"119",192,"INDF.JK","Indofood Sukses Makmur Tbk PT","Indonesia",3258790485.82152,30202030,"Packaged Foods & Meats"
"120",7,"EBRO.MC","Ebro Foods SA","Spain",3185983315.06755,30202030,"Packaged Foods & Meats"
"121",211,"PBH.TO","Premium Brands Holdings Corp","Canada",3146949433.15022,30202030,"Packaged Foods & Meats"
"122",92,"MZTI.OQ","Marzetti Co","United States of America",3115413420,30202030,"Packaged Foods & Meats"
"123",166,"SORIANAB.MX","Organizacion Soriana SAB de CV","Mexico",3113745781.00639,30101040,"Consumer Staples Merchandise Retail"
"124",100,"FIZZ.OQ","National Beverage Corp","United States of America",3040521072.96,30201030,"Soft Drinks & Non-alcoholic Beverages"
"125",8,"VIS.MC","Viscofan SA","Spain",3036390468.23699,30202030,"Packaged Foods & Meats"
"126",60,"TBSJ.J","Tiger Brands Ltd","South Africa",2974058482.68537,30202030,"Packaged Foods & Meats"
"127",184,"FAUF.PSX","Fauji Fertilizer Company Ltd","Pakistan",2944401653.83194,15101030,"Fertilizers & Agricultural Chemicals"
"128",108,"TR.N","Tootsie Roll Industries Inc","United States of America",2924035131.8,30202030,"Packaged Foods & Meats"
"129",120,"CPIN.JK","Charoen Pokphand Indonesia Tbk PT","Indonesia",2899396163.46956,30202010,"Agricultural Products & Services"
"130",252,"600186.SS","Lotus Holdings Co Ltd","China",2873849168.38255,30202030,"Packaged Foods & Meats"
"131",42,"2264.T","Morinaga Milk Industry Co Ltd","Japan",2788122634.24024,30202030,"Packaged Foods & Meats"
"132",19,"0142.HK","First Pacific Co Ltd","Hong Kong",2755645911.85967,30202030,"Packaged Foods & Meats"
"133",96,"MFI.TO","Maple Leaf Foods Inc","Canada",2699056888.02028,30202030,"Packaged Foods & Meats"
"134",5,"SDFGn.DE","K+S AG","Germany",2691558167.39887,15101030,"Fertilizers & Agricultural Chemicals"
"135",178,"JFC.PS","Jollibee Foods Corp","Philippines",2682411662.5635,25301040,"Restaurants"
"136",261,"GAGR.SI","Golden Agri-Resources Ltd","Singapore",2682354209.9675,30202010,"Agricultural Products & Services"
"137",68,"FRAS.KL","Fraser & Neave Holdings Bhd","Malaysia",2673055020.81141,30201030,"Soft Drinks & Non-alcoholic Beverages"
"138",6,"SZUG.DE","Suedzucker AG","Germany",2576901020.73373,30202030,"Packaged Foods & Meats"
"139",153,"KENT.IS","Kent Gida Maddeleri Sanayii ve Ticaret AS","Turkey",2565712747.82453,30202030,"Packaged Foods & Meats"
"140",138,"MGROS.IS","Migros Ticaret AS","Turkey",2507906677.86977,30101030,"Food Retail"
"141",254,"000833.SZ","Guangxi Yuegui Guangye Holdings Co Ltd","China",2484147839.05555,30202030,"Packaged Foods & Meats"
"142",46,"1332.T","Nissui Corp","Japan",2457717006.66296,30202030,"Packaged Foods & Meats"
"143",56,"SCHO.CO","Schouw & Co A/S","Denmark",2349681606.66177,30202030,"Packaged Foods & Meats"
"144",191,"MTS.AX","Metcash Ltd","Australia",2338999945.95475,30101020,"Food Distributors"
"145",548,"417A.T","Blue Zones Holdings Co Ltd","Japan",2330038902.18397,30101030,"Food Retail"
"146",209,"ANDE.OQ","Andersons Inc","United States of America",2315675808,30101020,"Food Distributors"
"147",137,"1229.TW","Lien Hwa Industrial Holdings Corp","Taiwan",2287283074.73222,30202030,"Packaged Foods & Meats"
"148",31,"2206.T","Ezaki Glico Co Ltd","Japan",2264966789.91918,30202030,"Packaged Foods & Meats"
"149",33,"2607.T","Fuji Oil Co Ltd (Osaka)","Japan",2254469956.56117,30202030,"Packaged Foods & Meats"
"150",35,"2810.T","House Foods Group Inc","Japan",2248908202.40607,30202030,"Packaged Foods & Meats"
"151",260,"000902.SZ","YONFER Agricultural Technology Co Ltd","China",2231163739.33524,15101030,"Fertilizers & Agricultural Chemicals"
"152",186,"URC.PS","Universal Robina Corp","Philippines",2224599231.99166,30202030,"Packaged Foods & Meats"
"153",34,"8242.T","H2O Retailing Corp","Japan",2215683906.63212,30101030,"Food Retail"
"154",288,"2050.SE","Savola Group Company SJSC","Saudi Arabia",2201922820.84743,30202030,"Packaged Foods & Meats"
"155",131,"GNC.L","Greencore Group PLC","United Kingdom",2190722153.68424,30202030,"Packaged Foods & Meats"
"156",175,"MYOR.JK","Mayora Indah Tbk PT","Indonesia",2150711733.34723,30202030,"Packaged Foods & Meats"
"157",199,"600872.SS","Jonjee Hi-tech Industrial and Commercial Holding Co Ltd","China",2110860010.86937,30202030,"Packaged Foods & Meats"
"158",20,"GRG.L","Greggs PLC","United Kingdom",2097608479.84146,25301040,"Restaurants"
"159",2,"SPAB.BR","Societe de Services de Participations, de Direction et d'Elaboration SA","Belgium",2089110315.39931,30201030,"Soft Drinks & Non-alcoholic Beverages"
"160",218,"000422.SZ","Hubei Yihua Chemical Industry Co Ltd","China",2087629853.16336,15101030,"Fertilizers & Agricultural Chemicals"
"161",122,"DPFE.NS","Deepak Fertilisers and Petrochemicals Corp Ltd","India",2085921582.60824,15101030,"Fertilizers & Agricultural Chemicals"
"162",59,"AVIJ.J","Avi Ltd","South Africa",2080777067.78763,30202030,"Packaged Foods & Meats"
"163",210,"ALICORC1.LM","Alicorp SAA","Peru",2038813059.22284,30202030,"Packaged Foods & Meats"
"164",179,"ALG.N","Alamo Group Inc","United States of America",2021891872.88,20106015,"Agricultural & Farm Machinery"
"165",249,"ALSEA.MX","Alsea SAB de CV","Mexico",2021659576.67175,25301040,"Restaurants"
"166",112,"WMK.N","Weis Markets Inc","United States of America",1991692612.53,30101030,"Food Retail"
"167",194,"CSR.CS","Compagnie Sucrerie Marocaine et de Raffinage SA","Morocco",1949197939.56519,30202030,"Packaged Foods & Meats"
"168",113,"CHMB.NS","Chambal Fertilisers and Chemicals Ltd","India",1947609499.09739,15101030,"Fertilizers & Agricultural Chemicals"
"169",181,"2593.T","Ito En Ltd","Japan",1944508740.57622,30201030,"Soft Drinks & Non-alcoholic Beverages"
"170",182,"600827.SS","Shanghai Bailian Group Co Ltd","China",1923139216.96093,30101030,"Food Retail"
"171",180,"000553.SZ","ADAMA Ltd","China",1914336924.28861,15101030,"Fertilizers & Agricultural Chemicals"
"172",132,"ILCO.TA","Israel Corporation Ltd","Israel",1863821330.52632,15101030,"Fertilizers & Agricultural Chemicals"
"173",226,"7581.T","Saizeriya Co Ltd","Japan",1860765089.39478,25301040,"Restaurants"
"174",241,"600113.SS","Zhe Jiang Dong Ri Ltd Co","China",1859317577.85498,30101030,"Food Retail"
"175",490,"TFMAMA.BK","Thai President Foods PCL","Thailand",1853717697.47444,30202030,"Packaged Foods & Meats"
"176",83,"FLO.N","Flowers Foods Inc","United States of America",1823141778,30202030,"Packaged Foods & Meats"
"177",214,"EXITO.CN","Almacenes Exito SA","Colombia",1809709130.14363,30101040,"Consumer Staples Merchandise Retail"
"178",200,"ABUK.CA","Abu Qir Fertilizers and Chemical Industries Co SAE","Egypt",1802827360.62295,15101030,"Fertilizers & Agricultural Chemicals"
"179",115,"BJC.BK","Berli Jucker PCL","Thailand",1783385181.75586,30101040,"Consumer Staples Merchandise Retail"
"180",89,"IMKTA.OQ","Ingles Markets Inc","United States of America",1750141804.64,30101030,"Food Retail"
"181",506,"UIE.CO","UIE PLC","Denmark",1729033587.78626,30202010,"Agricultural Products & Services"
"182",196,"000048.SZ","Shenzhen Kingkey Smart Agriculture Times Co Ltd","China",1705321354.182,30202030,"Packaged Foods & Meats"
"183",234,"026960.KS","Dong Suh Companies Inc","Korea; Republic (S. Korea)",1679338133.2981,30101020,"Food Distributors"
"184",101,"NWC.TO","North West Company Inc","Canada",1655293570.99091,30101030,"Food Retail"
"185",225,"000061.SZ","Shenzhen Agricultural Power Group Co Ltd","China",1621652581.75582,30101020,"Food Distributors"
"186",127,"FRNM.SI","Fraser and Neave Ltd","Singapore",1612429349.04799,30202030,"Packaged Foods & Meats"
"187",128,"1210.TW","Great Wall Enterprise Co Ltd","Taiwan",1585261394.06526,30202030,"Packaged Foods & Meats"
"188",37,"2811.T","Kagome Co Ltd","Japan",1539402349.75631,30202030,"Packaged Foods & Meats"
"189",198,"TU.BK","THAI Union Group PCL","Thailand",1535225266.14552,30202030,"Packaged Foods & Meats"
"190",121,"CENTEL.BK","Central Plaza Hotel PCL","Thailand",1491656644.61816,25301040,"Restaurants"
"191",78,"WEN.OQ","Wendy's Co","United States of America",1481939379.2,25301040,"Restaurants"
"192",44,"2001.T","Nippn Corp","Japan",1479288489.66624,30202030,"Packaged Foods & Meats"
"193",247,"1722.TW","Taiwan Fertilizer Co Ltd","Taiwan",1466216216.21622,15101030,"Fertilizers & Agricultural Chemicals"
"194",206,"600882.SS","Shanghai Milkground Food Tech Co Ltd","China",1457317585.93193,30202030,"Packaged Foods & Meats"
"195",140,"004370.KS","Nongshim Co Ltd","Korea; Republic (S. Korea)",1454466215.7342,30202030,"Packaged Foods & Meats"
"196",41,"2201.T","Morinaga & Co Ltd","Japan",1452194228.34845,30202030,"Packaged Foods & Meats"
"197",82,"FMC.N","FMC Corp","United States of America",1449275038.59,15101030,"Fertilizers & Agricultural Chemicals"
"198",90,"JJSF.OQ","J&J Snack Foods Corp","United States of America",1442700292.88,30202030,"Packaged Foods & Meats"
"199",29,"BELL.S","Bell Food Group AG","Switzerland",1423032711.72962,30202030,"Packaged Foods & Meats"
"200",123,"EIDP.NS","E I D-Parry (India) Ltd","India",1399915622.98773,15101030,"Fertilizers & Agricultural Chemicals"
"201",40,"8194.T","Life Corp","Japan",1386920688.50639,30101030,"Food Retail"
"202",222,"DMC.N","Del Monte Corp","United States of America",1379721661,30202010,"Agricultural Products & Services"
"203",162,"JPFA.JK","Japfa Comfeed Indonesia Tbk PT","Indonesia",1362721277.18043,30202030,"Packaged Foods & Meats"
"204",86,"9861.T","Yoshinoya Holdings Co Ltd","Japan",1337629086.19903,25301040,"Restaurants"
"205",239,"PODR.ZA","Podravka Inc","Croatia",1327674932.79032,30202030,"Packaged Foods & Meats"
"206",165,"SFBT.TN","Societe de Fabrication des Boissons de Tunisie SA","Tunisia",1325857688.5039,30201030,"Soft Drinks & Non-alcoholic Beverages"
"207",267,"FEMP.SI","Food Empire Holdings Ltd","Singapore",1323401767.74493,30202030,"Packaged Foods & Meats"
"208",135,"9869.T","Kato Sangyo Co Ltd","Japan",1308532296.87211,30101020,"Food Distributors"
"209",171,"9948.T","Arcs Co Ltd","Japan",1278618517.24351,30101030,"Food Retail"
"210",223,"BJRI.OQ","BJ's Restaurants Inc","United States of America",1266374755.62,25301040,"Restaurants"
"211",173,"BACH.NS","Balrampur Chini Mills Ltd","India",1266075048.55383,30202030,"Packaged Foods & Meats"
"212",183,"ENGO.PSX","Engro Holdings Limited","Pakistan",1263577239.74748,15101030,"Fertilizers & Agricultural Chemicals"
"213",262,"7616.T","Colowide Co Ltd","Japan",1245865675.10025,25301040,"Restaurants"
"214",185,"MLKP.PSX","Nestle Pakistan Ltd","Pakistan",1234153040.4,30202030,"Packaged Foods & Meats"
"215",65,"GENP.KL","Genting Plantations Bhd","Malaysia",1213540758.54438,30202010,"Agricultural Products & Services"
"216",242,"000848.SZ","CHENG DE LOLO Co Ltd","China",1213177583.81959,30202030,"Packaged Foods & Meats"
"217",104,"SENEA.OQ","Seneca Foods Corp","United States of America",1207710074.44,30202030,"Packaged Foods & Meats"
"218",51,"1377.T","Sakata Seed Corp","Japan",1197673861.74348,30202010,"Agricultural Products & Services"
"219",177,"9936.T","Ohsho Food Service Corp","Japan",1182013512.61645,25301040,"Restaurants"
"220",221,"0297.HK","Sinofert Holdings Ltd","Hong Kong",1173474758.05374,15101030,"Fertilizers & Agricultural Chemicals"
"221",94,"LNN.N","Lindsay Corp","United States of America",1171862307.4,20106015,"Agricultural & Farm Machinery"
"222",66,"0506.HK","China Foods Ltd","Hong Kong",1148610548.11074,30201030,"Soft Drinks & Non-alcoholic Beverages"
"223",170,"PZZA.OQ","Papa John's International Inc","United States of America",1146964208.04,25301040,"Restaurants"
"224",116,"BBRM.NS","Bombay Burmah Trading Corporation, Ltd","India",1118734888.87724,30202030,"Packaged Foods & Meats"
"225",193,"600866.SS","Star Lake Bioscience Co Inc Zhaoqing Guangdong","China",1117692150.48724,30202030,"Packaged Foods & Meats"
"226",48,"2602.T","Nisshin OilliO Group Ltd","Japan",1114606464.40866,30202030,"Packaged Foods & Meats"
"227",148,"SOPS.KL","Sarawak Oil Palms Bhd","Malaysia",1110971649.46644,30202010,"Agricultural Products & Services"
"228",77,"CBRL.OQ","Cracker Barrel Old Country Store Inc","United States of America",1106397270,25301040,"Restaurants"
"229",189,"ADES.JK","Akasha Wira International Tbk PT","Indonesia",1096319184.87629,30201030,"Soft Drinks & Non-alcoholic Beverages"
"230",3,"SIFB.BR","Sipef NV","Belgium",1088897570.14891,30202010,"Agricultural Products & Services"
"231",32,"8278.T","Fuji Co Ltd","Japan",1086180799.29669,30101030,"Food Retail"
"232",230,"600078.SS","Jiangsu ChengXing Phosph Chemicals Co Ltd","China",1083952649.28902,15101030,"Fertilizers & Agricultural Chemicals"
"233",9,"SAVEN.PA","Savencia SA","France",1062748064.93313,30202030,"Packaged Foods & Meats"
"234",154,"2815.T","Ariake Japan Co Ltd","Japan",1062653993.15195,30202030,"Packaged Foods & Meats"
"235",24,"MPE.L","M P Evans Group PLC","United Kingdom",1059099996.52847,30202010,"Agricultural Products & Services"
"236",263,"ZHCD.QA","Zad Holding Company QPSC","Qatar",1051838264.66586,30202030,"Packaged Foods & Meats"
"237",93,"LASa.TO","Lassonde Industries Inc","Canada",1043204850.20072,30202030,"Packaged Foods & Meats"
"238",167,"HERDEZ.MX","Grupo Herdez SAB de CV","Mexico",1042198502.57851,30202030,"Packaged Foods & Meats"
"239",150,"001800.KS","ORION Holdings Corp","Korea; Republic (S. Korea)",1035128333.83975,30202030,"Packaged Foods & Meats"
"240",136,"LES.CS","Lesieur Ste SA","Morocco",1033174349.66081,30202030,"Packaged Foods & Meats"
"241",159,"JBSS.OQ","John B Sanfilippo & Son Inc","United States of America",1032306368.25,30202030,"Packaged Foods & Meats"
"242",118,"1215.TW","Charoen Pokphand Enterprise Taiwan Co Ltd","Taiwan",1023449244.20849,30202030,"Packaged Foods & Meats"
